Area (m2),Frontage (m),Access Road (m) ,Floors,Bedrooms,Bathrooms,Price (B VND)
52,,8,4,4,4,5.85
58,4,5,3,3,3,3.95
38,,,3,2,2,3.5
56,,,3,4,3,4.5
40,,6,3,4,3,2.2
95,,,,,,5.5
150,5,16,,3,2,1.75
96,4.8,,,,,1.5
63,,,4,5,4,7.8
240,12,12,2,4,4,8.1
35,,,5,4,3,3.45
20,2.8,,4,2,3,3.6
69.4,6.74,4,2,3,2,4.7
86.4,,,1,2,1,7.7
59.5,,4,5,4,4,7.95
67.5,4.5,15,4,4,4,4.9
38,,,4,4,3,4.3
47.5,3.5,2.5,3,3,3,1.98
56,,,3,4,3,2.62
52,,,3,,,8.9
60,4.5,4,3,2,2,6
35,,8,3,4,3,2.48
46,,,4,4,3,6
40,4.5,3,2,2,1,4.35
38,,3,4,4,3,5.9
35,,3.5,5,3,3,5.45
60,4,10,2,3,2,3.35
52.5,4,6,4,6,7,8.6
45,,2.5,5,6,5,9
37,,,3,3,3,5.5
42,4,6,5,8,8,6
50,,,5,4,4,7.4
170,,,,,,8
61.7,,5,,,,5.8
100,,13,5,5,5,10
50,4,4,2,2,2,3.49
68,5.6,3,2,2,2,6.2
50,6,4,5,5,5,7.5
32,4,8,3,4,3,2.48
30,,,3,4,,6.9
102,7,6,2,2,1,7.5
45,6,7,5,3,3,9.3
55,,5,4,4,4,9.5
70,3.3,4,5,5,4,6.85
62.5,5,13,5,4,4,7.4
75,4.5,3,4,4,3,9.5
35,3.8,3,4,3,4,6
38,,,4,4,,5.64
40,3.5,2,4,4,3,5
65,4.5,3,4,4,4,9.3
84,4,10,4,5,6,9.2
20,,,2,2,1,1.27
43,4,4,6,3,4,8.25
53,5,4,1,2,2,3.85
55,,,1,,,2.6
352,15,15,2,4,3,6.3
96.8,,,3,,,9
38.4,3.2,6,3,4,3,3.6
78,6,13,5,4,4,9.2
40,3.8,2.5,5,3,4,5.75
50,4,5,2,2,2,4
90,,,3,4,5,9.4
80,,3,2,6,,6.49
75,5,12,3,3,3,8.2
111,11,67,5,5,4,8.6
92.5,5,20,3,4,3,9.25
36,,,,,,5.6
35,3.5,,5,3,4,6.2
32,,,5,3,,4.8
32,4,2,5,3,4,5.45
64,4,,2,4,2,1.8
114,1,13,5,5,6,9.76
46,,,4,4,,5.5
42,4.2,2.7,5,4,4,5.8
72,,8,4,4,4,5.6
33,4,2.5,5,4,4,5.2
30,,,5,3,4,4.95
80,5,13,2,2,2,1.8
40,3.8,,4,5,3,5.2
45,4,2.5,5,6,4,8
49,,,3,3,3,2.6
64,4,8,4,5,5,5
45,7,,5,5,,7.1
75,5,20,3,3,3,6.7
40,4,3,2,2,2,2.55
55,4,2.5,4,6,4,9.4
61.5,4.1,4,2,4,3,6.7
40,5.5,2,6,3,5,8.8
49.5,4.5,4,2,3,2,3.6
38,3.5,2.5,5,4,4,6.25
57,,,4,,,6
90,6,,3,,,4.73
50.2,4.8,5,4,4,4,4.5
62.2,,,4,4,5,8.5
30,3.8,4,1,2,1,1.95
48,4,,4,,,6.98
88,,8,,2,2,7.2
105,,6,4,5,6,5.9
56,,,2,3,2,5.6
63,4.2,,4,4,5,7.1
35,,,5,4,5,5.7
60,,,5,4,5,9.4
43,7,,6,,,9.7
38,,2.4,6,3,5,8.2
64.6,5,20,1,,,8.8
31,6,5,5,4,4,6.9
70,5,51,5,6,6,9.9
40,,,4,,,4.6
35,3.5,4,3,4,2,5.9
24,,,2,2,2,2.45
84,,2.5,,2,1,2.35
32,3.2,4.5,5,3,4,5.5
75,7.6,12,3,4,3,8.8
52,4,30,5,5,5,6.7
44,3.8,2.7,4,4,3,7.4
40,,2,5,3,4,7.5
100,6,5,4,5,6,8.1
150,,,,,,6.5
54,4.2,5,3,3,4,7.5
80,,,5,4,5,8.9
300,10,20,,,,8.2
110,5,,4,4,5,9.6
30,3.6,,2,2,2,3.55
56,,,2,2,2,7.6
90,6,,2,4,3,3.2
70,,,1,1,1,3.7
50,4,4,4,4,3,7.9
35,7,2,5,4,4,4.55
80,,,,1,2,4.5
42,,,4,4,4,5.45
36,4,3,6,3,5,7.4
52,,,4,5,6,8.4
44.5,,,3,3,3,2.45
90,,,3,3,4,9.99
64,,,4,4,5,6.9
90,4.5,,5,4,5,8.6
92,6.9,11,3,4,4,7.8
60,,,4,5,4,9.99
73,,,3,4,4,8.9
40,,,5,6,4,8.5
50,5.3,,3,3,3,6.8
34,3.3,,5,4,5,4.9
38,5.6,,5,3,4,5.6
40,,,2,2,2,3.9
37,4,12,4,3,2,5.6
45,,,5,,,6.6
85,5.5,5,1,5,5,5
33,,,1,2,1,2.6
42.5,5,,5,6,6,5.95
51,4.1,2.5,3,3,2,2.27
44,4.7,4,2,2,2,4.9
131.1,4.5,5,4,4,5,4.45
56,7,8,3,3,3,8.4
110,5,,,2,1,1.1
84,4,8,1,2,1,9
447,10.7,10,,,,6.3
54,,3,3,3,3,2.75
101.1,5.1,,,,,10
32,3,,4,4,3,6.3
42,,,5,,,8.5
53,,,2,2,2,4.65
39,4,4,5,3,3,3.5
25.6,,2,4,2,3,5.35
60,5,3,4,5,4,9.75
60,,6,4,5,5,5.85
68,,4,3,3,4,3.22
75,4.5,8,1,3,1,6.5
79.2,9,5,2,2,2,2.6
125,5,10,3,4,4,5.5
62,4.5,10,2,2,2,3.8
77,4,8,4,4,4,6.5
85,5,,1,5,5,2.55
56.7,4,4,4,5,5,5.85
60,4.2,7,,,,5.3
34,4.6,4,4,7,3,7.5
72.4,4.1,12,2,4,3,8.9
26,3,3,4,3,4,4.6
16,,,2,1,1,2.2
67,4.23,12,3,3,3,7.45
90,4,8,3,4,5,9.2
24,,,2,2,2,2.95
114,,,,,,9.76
10,,3,2,1,1,1.3
60,14,,2,2,2,2.9
27,3,3,2,2,2,4.15
36,,3,2,3,3,4.97
32,4,2,3,2,3,4.75
60,,6,4,3,6,7.9
107,6.4,5,3,6,3,7.8
80,5,7,,2,1,3.3
120,,20,2,4,3,6.9
50,4.5,4.5,2,3,2,2.6
60,,,3,4,3,6.8
53,4.4,,3,3,3,9.35
44,,,3,4,5,9.9
85,,,,,,3.1
34,,,5,4,4,6.15
42,3.6,8,5,6,3,8.1
45,,,5,4,4,5.45
57,,3,1,3,2,3.9
35,4,3,5,3,4,5.5
33,3.3,,4,4,,7.3
44,,,,6,,6.55
120,6,6,1,3,2,9.5
41,4,6,5,3,4,10
40,,,4,,,2.95
58,,,4,4,,6.8
60,4,3.5,2,4,3,5.58
55,3,,5,6,4,8.5
68,,,4,,,9.9
80,4,10,2,2,2,9.9
21,,,2,2,1,2.55
240,10,10,2,3,3,7.8
75,5,5.5,2,3,3,6.8
110,4.5,20,5,,,8.5
36,,4,,,,6
78,,,5,,,9.5
50,4,4,4,5,5,8.7
151,7.5,12,2,2,3,5.2
129,,,2,,,2.5
34,,5,3,3,3,4.65
36,4,,4,3,3,5.6
90,5,7.5,2,3,2,4.1
52,4.6,5,4,6,4,8.6
56,4.25,,2,,,5.4
64,,,1,1,1,7.9
98,,,,,,6.2
110,8.1,,2,3,3,10
64,4.65,,,,,7.9
46,4,,4,4,,9.5
69,,,3,4,3,5.9
36,4,3,5,3,5,7.4
31.4,3.1,5,3,3,2,2.1
48,3.5,3,5,6,5,8.95
105.6,,,3,4,4,10
37,4,12,4,3,3,5.6
50,4,,5,,,9.5
71,,12,4,4,3,5.95
100,,,,,,4.8
68,,8,3,4,4,6.5
470,,,1,3,,9.5
55,4.2,5,2,2,2,5.6
64,4,,1,,,1.45
38,4,3,6,3,5,8.08
80,5.2,,4,5,6,7.7
42,5,3,5,3,4,7.5
50,,,3,5,4,4.31
49,4.5,,6,4,4,8.15
82,5.5,,5,4,5,9.5
36,4,4,5,3,3,3.8
101.3,5,22,,5,5,6
64,4,,3,6,5,9.3
28,3,,4,5,4,5.25
56,,6,2,4,4,5.7
112.5,5,,,,,7.6
240,15,10,2,2,3,7.8
86,,,3,4,3,4.5
35,,,4,4,3,5
56,4,13,2,2,2,5.49
61,4,3,4,4,4,7.6
40,,5,,2,2,1.35
40,,,5,4,4,7.9
58,4,4,4,3,4,6.8
323,14,20,1,3,4,10
80,51,3,2,3,2,4.58
100,5,5,2,3,3,5.5
21,5,8,2,2,2,3.8
41,,,5,3,4,5.78
87,4.3,7,4,5,5,9.5
30,4,,5,3,,4.29
36,4,3,4,3,4,4.8
51,5.1,,1,1,1,7.5
69,5.6,2,2,3,2,2.3
58,,,5,4,5,8.2
34,4,5,5,3,4,6
96,,,5,,,9.4
43,4.68,3,6,3,4,7.94
86,5,6,2,3,2,4.8
40,4.8,5,6,,,7.3
53,8,12,2,4,4,7.2
38.1,4,4,1,2,1,3.6
32,3.6,,5,4,4,6.6
51,,,4,3,4,6.55
60,,,4,,,6.9
30,,,6,3,4,6
96,6,5,4,8,6,8
40,5.5,,6,5,4,8.85
42,6,3,4,4,3,5.4
45,,,5,3,4,6.45
44,7,6,,1,1,5.4
50,6,4,5,9,9,7.2
95,,7.5,3,3,3,8.5
126,,,,4,4,6
35,,,5,3,3,4.5
50,4,12,4,5,3,5.8
110,,,,,,2.85
105,7,15,4,5,6,6.18
60.6,,,3,,,6.1
40,,,5,,,7.9
44,,,5,6,5,8.9
117,6.5,12,4,4,5,6.9
91.8,4,,2,2,1,3.95
50,7,3,,1,1,2.08
61.6,4,12,3,4,4,3.6
75,7.6,,4,4,4,6
55,4,7.5,3,3,2,6.9
30,5,6,5,3,3,4
30,4.2,6,5,3,3,5.5
50,4,,5,,,8.5
40,3,6,2,3,2,4.68
88,5.5,25,5,,,9.6
105,45,7,2,3,3,7.1
116,5,8,2,3,2,3.2
45,,,3,3,3,2.85
63,5,,2,2,1,4.15
65,,,4,4,5,3.85
58.5,4.5,5,2,2,2,3.7
10,,,2,1,2,1.2
60,5,7,4,4,4,7.8
42,4,6,2,2,2,2.5
150,7.5,7.5,2,4,3,9.8
41,4.1,3,4,,,9
31,4.6,4,5,3,3,3.95
136,,,,2,2,6.5
50,4.3,,2,2,2,3.5
35,,,5,3,4,5.6
64,4,12,5,5,4,9.6
68,4.4,4,1,3,2,3.05
47,,,,,,1.7
65.6,3.55,2.5,1,1,1,2.37
60,4,12,3,2,3,4.88
52,4,12,4,4,5,4.5
60,,,3,4,3,8
56,4,3.5,2,2,2,4.5
132,6,,3,3,3,9
54,,5,4,3,3,3.86
100,5,10,4,4,4,6.5
66,4.6,12,4,4,4,4.79
83,4.2,12,4,4,4,6.2
75,5,12,3,3,3,8.2
68,4,,2,2,2,3.65
40,4,6,4,3,3,3.95
68,4.4,,3,3,3,8.99
34,3.6,2.5,4,3,3,2.7
130,,30,,,,5.2
24,4,5,2,2,3,1.68
38,,4,3,4,3,2.7
91.2,6.5,7,3,4,5,9.2
60,4,10,2,3,2,3.35
113.7,,4,,2,2,3.19
85,,,3,5,4,8.69
70,5,12,,,,9.9
54,4.5,2.5,5,3,3,6
75,5,12,3,3,3,8.49
45,,,5,6,4,7.4
36,,,4,3,3,4.45
41.3,4.35,5,1,1,1,6.5
42,4,6,4,4,3,10
45,,,2,3,2,3.76
56,4,4,4,4,5,6.95
70,4,6,3,3,3,6.2
60,,12,3,2,2,3.99
60,6.5,20,1,1,1,4.5
38,3.7,4,5,4,4,7.5
38,,,6,3,5,6.8
90,4.5,12,5,4,5,8.6
120,8,18,3,4,4,8.68
35,,,5,3,4,5.5
24,3,3,1,2,2,2.75
60,,12,4,4,4,5.8
60,4,15,4,4,5,7.5
52,4,7,4,4,6,8.68
128,9.9,,,,,1.96
46,,,4,4,4,3.35
103.2,5.25,3,3,6,5,5.3
90,4.5,12,4,4,5,6.5
50,4.2,,4,4,4,8.35
63,,,4,4,3,8.5
59,10,3,2,3,3,5.15
48.5,,6,2,3,2,3.1
60,,22,4,4,4,8.8
65,,8,4,4,5,4.2
150,7.5,6,2,3,2,5.1
40,,,4,4,3,5.95
46,,,4,4,3,9.5
45.4,,2.3,2,2,1,5.2
50,,2.5,5,6,5,7.8
32,3.8,2,5,3,4,3.82
95,5,5,3,4,4,4.19
30,,,,,,3.3
78.8,,3,5,5,6,6.79
61,,,4,4,3,9.2
60,4,13,3,4,4,3.2
130,,,4,6,6,6.99
50,,,4,4,3,7.3
286,,,,,,3.7
110,,,,,,9
60,,,4,4,3,8.8
140,,,1,2,2,3.5
100,6,6,2,6,4,7.5
40.8,,3.5,2,2,2,3.45
39,4,,4,4,3,5.1
90,5,,3,4,4,10
48,,,5,6,4,7.6
47,,,1,2,,1.5
90,,,2,4,2,5
67,3.8,4,4,4,4,7.5
70,6,5,3,5,3,3.5
50,,,2,2,2,3.9
42,4,,6,,,7.8
72,5.2,,3,,,7.5
50,6,4,6,4,5,9.8
36,,,4,4,3,7.5
89.4,4.7,,1,4,4,6.2
43,,,5,,,6.3
45,,,4,3,3,6.95
47,5.05,3,6,4,4,9.5
67.5,,,,,,8.89
46,,,4,5,5,6.6
31,4.2,,5,3,3,3.6
64.77,,4,2,2,2,6.5
62,,22,3,3,3,3.1
152.5,,,,2,1,1.25
41.2,,,2,3,,6.34
35,3.9,4.5,5,4,4,7.5
103.2,,3,3,,,5.3
56,5,4,5,6,6,9.3
50.3,4.01,,3,4,3,5.1
42,4.3,4,3,3,3,6.4
45,,,4,3,3,7.3
35,4,3,5,3,4,3.8
120.6,5.01,,,2,2,8.8
43,,,5,3,,6
62,4,,3,3,4,5.99
50,4,10,4,4,5,8.15
33,,,4,4,3,3.99
45,6,4,5,3,4,4.9
40,,,5,3,4,7.5
82.5,,,3,4,5,5
114,,,2,,,4.69
45,7,,6,3,4,9.6
60.3,4.2,5,4,4,5,8.5
100,5,,4,6,7,9.5
50,2,,4,3,3,6
160,8,13,1,3,3,5.9
108.8,5.6,,3,4,4,9.3
42,4,6,6,4,4,8.5
62.5,,,3,4,3,5.28
103.2,,11,4,3,4,6.5
152.1,8,,,,,8.9
68,,8,3,4,5,7.45
77.2,6.9,5.9,2,4,4,6
55,5,,2,2,2,4.75
30,,,5,3,3,3.6
40,3.6,,5,5,4,6.95
60,,5.5,2,2,2,4.1
42,,,5,3,,6.6
40,4.5,5,5,4,4,6.3
60,5,5,2,3,4,4.4
82,6.5,5.5,3,3,3,6.8
30,,3,5,3,3,4.15
106,6,5,1,3,2,3.75
75,5,,,,,8
44,,,5,4,6,4.55
81.2,5,5,2,3,2,3.25
110,5,5,,2,1,2.7
66,3.4,,4,,,6.6
95,5,4,2,4,4,3.28
43.5,3.55,,5,4,6,4.55
125,5,5,1,3,2,2.95
35,4,3.5,6,9,9,6.9
70,5,4,3,4,3,4.5
36,,,4,4,,5.2
60,5,13,3,4,3,4.5
30,,3,5,4,4,2.3
73,5,6,2,3,2,2.95
75,,,4,,,7.9
100,4.2,,3,3,3,7.8
30.9,4.91,,5,3,3,4.4
79.4,5,5,1,3,2,2.95
30,3.5,,5,3,,5.5
150,5,8,2,3,2,4.1
35,3.5,3,5,6,6,6
90,4,5,1,3,2,2.28
105,5,5,1,3,2,3.7
48,,,5,,,5.9
130,8,8,3,4,5,8.05
75,5,6,2,4,3,3.35
38,3.8,3,1,2,1,2.69
45,4,3,5,9,9,7.5
32,,,5,3,,4.99
35,,,5,5,4,8.8
42,4.5,,4,,,7
64,4,7,3,3,3,4.85
60,4,,3,3,3,5.47
90.8,6,16,4,5,6,8.5
39,7.2,2.3,4,5,3,4.5
100,5,16,4,4,5,6.99
85,5,,,,,5.4
62,,,4,4,4,5.8
70,3.7,3,4,4,3,10
54,7,,4,4,,6.9
40,,,4,3,3,4.48
43,,2.5,4,4,3,3.9
64,,6,4,,,7.6
32,,,3,4,,5.9
129,,,,,,2.5
40,,3,4,4,3,4.4
16,,,3,3,3,1.7
52.6,,3,4,3,4,7.9
67.5,4.5,15,4,,,4.6
46,3.1,2,6,6,5,9.85
30,,2.5,5,3,4,3.5
51,4.2,,2,2,2,8
52,5,12,2,3,3,7.9
159,5,6,,9,9,6.5
32,,,4,3,3,3.9
34,,,4,5,3,4.8
33,3.1,2,3,3,3,4.5
107.1,6.3,16,3,3,4,3.75
135,4.8,22,5,6,5,9.7
60,,,5,3,4,7
62,,,5,6,4,9.8
101,,12,4,5,4,9.5
46,4.2,3,6,6,5,8.2
50.4,,,3,4,5,9.2
85.5,6,20.5,,,,6
37,4,3,5,4,4,6.1
46,,,,3,2,3.75
72.5,5,20.5,,,,6
55,4,,2,4,3,6.2
40,4,5,3,3,3,4.7
22,2.89,2.5,2,2,2,3.8
52.8,,,2,2,2,3.79
100,5,12,2,,,2.85
56,,,2,2,2,1.15
124.1,5.8,,2,3,2,8.9
30,5,15,5,4,4,6.75
92.4,,,4,4,5,8.9
64,,,4,5,5,7.48
48,,,2,2,2,5.5
90,,,,1,1,9.2
32,,3,2,2,1,2.95
98,5,5,1,4,2,3.29
50,8,4,5,3,4,4.5
47.5,4,4,2,3,2,5.1
84,,,4,4,5,8.6
40,,,2,2,3,2.58
58,4,10,2,2,2,6.25
72,,,,,,4.5
41,,,3,4,3,2.65
40,5,,4,4,5,7.65
43.5,,,5,4,6,4.55
177.3,10,11.5,3,4,5,10
200,11,,,2,,2.3
48.8,4,6,2,3,,4.95
35,4.7,3,5,3,,7
21,4,3,4,3,3,4.85
75,,12,2,,,7.3
37,,,4,3,4,8.15
79,,,1,,,6.2
31,,,4,,,8.7
75,5,,,,,8.35
60,,6,2,,,6.8
67.5,4.5,3.75,2,3,2,9.5
60,,,2,2,2,9.5
32,,,4,3,3,4.95
45,,5,3,4,3,9.6
35,3.6,3,3,3,3,2.4
30,3.56,,5,,,4.2
38,3.8,3.8,,,,3.25
17,,,3,2,2,3.1
41.4,,4,2,2,2,4
79,5,11.5,4,4,5,4.95
120,8.6,,3,4,3,6.66
89,4,6,2,3,3,6.8
131,6,8,2,3,3,9.5
74,5,10,4,4,5,9.9
85,45,5,5,8,8,8
40,4.2,8,5,3,3,8.2
52,4,13,5,6,4,6.1
97,,,4,4,5,3.5
36,4,5,2,2,2,4.35
38,4,3,6,3,5,8.08
45,6.9,6,6,3,3,9.85
70,5.09,5,3,4,3,5.8
100,,,,,,9.7
55,,12,4,3,4,5.6
52,,,5,3,4,9.7
50,5,5,5,4,5,7.1
45,,,6,5,4,8.25
22.5,,,,2,1,3.79
45,4.5,3,4,4,3,3.65
54,4,12,2,4,2,6.35
100,,16,1,3,2,3.7
36,,6,5,3,5,9.3
58,3.7,,2,2,2,4.1
45,4.5,3,2,2,1,2.4
90,,12,2,3,,3.1
40,,,5,3,4,4.5
75,5,6,3,3,4,5.6
180,10,12,,,,6
72,,10,2,3,2,6
60,4,5,4,4,5,6.5
90,5,5.5,2,3,2,3.5
60,,12,3,4,4,3.7
52,,,3,3,3,2.75
35,5.5,,4,3,3,7.6
50,6,,4,3,4,7.25
30.7,,,3,2,1,4.2
70,,6,4,4,5,6.8
84,,,4,4,5,6.45
43,4,,5,3,4,6.5
38.1,,5,2,3,2,5.2
34,,,5,,,5.38
40.5,3,4,4,7,4,9.6
45,4,3,5,5,5,6.9
90,,,,3,4,6.7
35,3.5,3,5,4,4,5.9
440,3.6,3,4,4,4,8.95
56.3,,,,,,3.88
72,,6,2,,,7.3
50,4.5,,5,6,6,9.8
45,3.5,,5,6,6,8.96
68.3,5,5,2,3,2,5.2
35,,,5,3,3,4.35
40,,3,5,3,4,5.7
40,3.5,14,3,3,3,8.8
51,4,,2,3,2,4.86
56,,7,4,4,4,9
60,4,5,3,4,3,6.7
40,4,3.5,1,,,4.8
75,8,8,4,3,4,8
32,4.3,4,2,2,2,5.2
108.8,5.5,13,3,4,5,8.9
67,,,3,3,3,5.5
68,4,8,6,5,6,6.45
85.3,5,10,3,3,2,4.89
75,5,12,3,3,3,7.2
70,4.9,5,2,2,2,5.4
48,,,2,3,3,6.25
40,7,5,4,4,3,3.6
72,6,6,,,,7.3
88,8,8,3,4,5,7.6
40,3,1.5,1,2,1,2.35
133,,,,,,8.75
69,5.6,,4,5,4,7.7
108,6,6,3,4,4,9.7
40,4,5,2,2,2,3.6
40,5,,5,,,4.2
45,5,,,,,4
39,,3,5,3,,5.8
41,,2,5,4,3,6.3
60,4.15,,,,,5
30,3.4,,5,3,4,7.5
33,4,3,4,3,3,2.45
45,4,3.5,3,3,3,2.46
81,,,,,,9.9
52,4,,4,7,4,9.1
44,4,,,,,5.7
120,,20,,3,3,5.1
41,,,5,,,5.99
43,4.1,,2,2,2,3.15
52,,4,3,3,2,5.6
59,5,4,3,3,3,2.15
80,,,4,4,4,10
31,4,2.5,5,3,4,4.1
30,3.6,,5,3,4,5.1
67.5,4,10,2,2,3,7.5
55.2,,,4,4,5,5.5
58,4.8,,5,5,,7.1
40,4,4,2,3,2,3.75
72,4.2,5,3,3,3,3.15
40,,,5,3,2,6.2
44,4.2,,5,,,6.8
48,4,5,3,3,3,2.7
40,4.5,3,5,4,3,7
35,3.5,3.5,3,3,3,1.93
42,,4,4,4,4,6.8
45,4,,4,,,7
35.3,4,3.5,3,3,3,2.39
60,4,,2,2,2,7.5
52,4,3,4,4,3,2.7
34,3.5,3,3,3,3,1.85
42,5,3,5,3,4,7.48
40,3.8,3,3,3,3,2.28
32,5,6,3,3,3,2.55
80,5,5,2,2,2,2
35,4,3.5,3,3,3,2.4
250,12,12,1,2,2,7.5
46,5.25,3,5,3,4,7.9
100,,,,,,6.5
30,4,6,5,3,3,3.1
30,3.3,2,5,3,4,5
32,4,4,1,2,2,3.48
30,4,3,5,4,4,4.9
77,,,3,4,5,4.1
32.6,4,3,4,4,3,2.7
54,,,,,,1.99
40,5,4,5,4,3,3.65
54,5.3,,,,1,1.99
33,5,4,5,3,4,2.85
200,10,13,2,4,3,6.2
32,3.5,3,5,3,4,2.75
33,4.35,4,3,3,3,2.2
60,5,,2,2,2,3.4
100,36,36,3,4,2,4.5
30,4.1,7,5,3,4,3.1
55,4,,6,8,8,8.7
73,4,,2,3,2,3.25
42,,,4,,,6.25
100,,,2,4,3,1.9
59,,,3,3,3,2.79
94,6,7,2,2,1,5.5
62.4,,,,2,2,2.2
5,,,3,2,2,2.3
53,4,6,3,4,3,8.9
58.2,,4,3,4,3,6.1
35,3.7,,4,,,5
38,,,5,6,4,6.5
67.1,6.1,6,4,,,7
100,,13,3,4,4,5.5
75,,,2,2,2,3.65
46,3.6,3.5,1,2,1,2.45
35,3.6,,5,,,5.6
217.6,10,5,3,5,3,7.5
180,9,13,3,4,4,9
75,,,,,,8.75
61,3.9,,3,4,3,9.8
39,,,5,5,3,7.4
63,4,4,2,2,2,1.45
50,,6,1,2,2,4.8
95,5,12,4,5,5,7.5
150,,,2,4,3,6.4
72,,,2,3,3,7.8
225,15,,2,4,3,8.3
42,4,,4,4,4,4.45
90,,,2,5,3,3.3
74,8,8,3,3,4,6.3
435.2,,4,,,,10
150,,,2,5,4,5.9
90,6,,2,4,3,3.15
40,3.7,,4,,,5.1
24,4,3,3,3,2,2.1
36,3.8,,4,,,7.9
38,4,,5,4,4,5.6
64,4,,4,4,3,7.2
55,4,8,2,,,5.5
100,5.3,13,2,3,2,4.8
37,,4,3,2,3,3.75
40,,,3,4,4,7.9
30,5,4,3,4,3,2.48
104,4,25,2,,,10
300,10,8,1,2,2,3.35
90,,,5,5,5,8
80,,,3,3,3,7.7
200,,3,1,,,1.65
22,2.8,,3,2,3,3.35
155,,,2,2,2,6
65,4.2,7,3,4,5,6.85
64,4,8,3,4,4,7.5
31,,,5,3,3,3.7
64,5,5,3,3,4,7.8
84,6,10,4,5,4,9.9
400,40,30,3,4,4,6.3
45,4,2.5,4,3,3,6.7
59.6,4,5,1,2,1,5.5
400,14,16,3,3,4,6.3
28.1,29,15,3,3,3,9.5
64,4,5,3,3,4,7.8
40,8,7,5,4,4,7.8
63,,2,2,3,,5.9
45,4,6,4,4,4,6.8
75,5,,,3,3,8.2
28,,6,3,2,3,5.9
30,4,4,5,3,4,4.5
53,,,4,,,6.7
32,,,4,5,3,3.5
150,,,2,6,3,4
48,4,10,2,3,2,3.99
35,3.5,3,5,6,5,6.8
39,7,3,3,3,3,7.8
37,,20,6,5,6,8.7
31,4.2,,5,3,3,3.6
75,5,,2,,,7.6
50,4,6,5,3,4,8.7
37,,5,4,3,4,5.2
60,7,7,4,5,5,5.5
37,,2,4,,,5.6
42,,,2,,,7.2
136,6.86,6,1,2,1,4.5
150,5,,,,,1.7
75,5,,,,,8
35,,,5,,,8.4
165,5,14,3,4,4,8
108,6,10,3,4,4,7.5
60,,,,,,5.8
54,4.4,6,3,3,3,8.3
90,4.5,6,1,2,2,5.49
42,3.8,2.5,5,3,4,4.7
100,5,6,2,3,3,5.5
30,,,5,3,,4.38
56,,,2,,,7.9
40,3.5,3,5,3,4,5.95
25,,,3,,,2.8
32.1,,12,3,3,,5.8
48,5,4,6,5,5,9.7
100,5,,4,6,6,9.5
43,,,5,,,6.6
35,3.8,5,5,4,4,6.2
36,,,2,2,,3.5
45,10,5,5,4,5,5.2
37,,6,5,5,6,8.5
30,3.8,,5,3,4,5.45
78,4.5,10,6,6,6,10
40,5,7,1,2,1,6
73.5,5.1,3,2,3,2,4.08
33,,,4,3,4,5.2
75,7.5,5,4,4,3,4.8
70,,,1,2,,5.6
35,,,4,3,3,1.8
75,,,3,3,3,6.6
40,,,5,,,7.49
38,3.2,6,3,4,3,2.25
35,,,5,,,6.49
45,3.5,11,6,4,5,3.7
45,5,6,5,3,4,10
36,,,5,3,,5.35
53,4.1,3,3,3,3,5.05
43.2,5,3,6,4,5,5.9
40,,,5,5,4,6.85
35,,,5,3,4,5
50,3.88,3,6,3,4,4.95
35,4,6,5,3,4,5.8
22,3,3,3,2,2,2.85
78.3,,,,,,6
42,4.1,3.5,5,5,4,5.1
41,6,5,2,2,2,4.75
34,4,3,4,3,,5.3
66,8,10,,2,2,6.3
35.9,3.2,,2,2,,4.5
78,4,5,3,3,4,3.7
36,4,6,5,4,4,5.8
56,,7,2,3,3,7.35
54,4.5,9,3,3,2,8.9
75,55,4,1,2,1,8.9
56.7,5,4,2,2,2,4.9
80,,12,2,3,3,9.3
45,,12,,9,9,9.7
47,4,,5,6,4,6
35,4,,4,3,3,6.1
88.5,8,,1,2,2,4.55
80,4,6,4,5,5,10
32,,,4,3,,3.3
34,4.2,4,5,3,4,4.75
88.3,8,20,1,2,1,4.22
80,5,7,2,3,2,3.65
90,,8,3,4,3,8.7
33,,,,1,1,2.55
92,5,7.5,3,3,4,6.95
92.4,4.2,6,5,5,6,8.79
68,4,10,1,,,7.9
90,5,8,4,4,5,5.5
85,4.2,5,4,4,5,7.79
52,,,,4,3,2.65
82,4,6,4,5,5,7.5
35,,,4,4,3,4.65
107.5,5,15,2,3,2,6.55
100,5,5.5,2,3,2,3.8
100,5,7.5,3,3,3,5.9
90,,10,,,,10
96,,,,5,,1.55
33,,,5,4,4,7.45
30,,,5,,,5.25
35,3.5,3.5,4,4,3,3.7
84,4,,1,3,2,1.85
61.6,4,13,3,4,4,3.6
52,,,7,4,6,6.5
45,,,5,8,9,5
48,4.2,6,5,4,5,8.6
35,4.5,4,5,3,4,4.4
65,4.3,5,4,4,4,8.8
100,,,3,,,3.07
80,4,2,4,6,4,7
45,34,5,4,3,3,7.5
35,7,2.7,5,4,4,5.65
120,6,,4,6,6,2.46
32,,,4,3,3,2.65
36,,14,2,1,2,9.5
41,3.5,5,5,4,4,5.85
92,,,4,5,4,6.5
72,6,,,,,4.8
45,,,4,6,4,7.65
39,5.4,3,6,6,5,7.98
110,5,15,3,4,4,5.5
45.6,,,3,3,2,2.48
33,,,5,4,4,3.8
40,,3,4,3,3,5.7
33,5,2.5,5,3,4,3.5
50,4.6,6,4,5,6,6.8
31,4.1,2,5,6,4,4.1
50,,,3,3,3,2.7
30,,4,6,3,4,5.8
30,,,5,3,3,4.75
